appid,action,adventure,fps,moba,platformer,puzzle,rpg,rts,sandbox,sports,survival
3620,30,0,0,0,0,15,0,0,0,0,0
3700,86,0,30,0,0,0,0,0,0,0,0
3710,39,0,22,0,0,0,0,0,0,0,0
3720,0,0,0,0,0,0,0,53,6,0,0
3730,88,0,101,0,0,0,0,0,0,0,0
3800,47,0,0,0,0,0,0,0,0,0,0
3810,54,0,0,0,0,0,0,0,0,0,0
3820,53,0,0,0,0,0,0,0,0,0,0
3830,325,398,0,0,502,0,0,0,0,0,0
3900,0,0,0,0,0,0,0,0,0,0,0
3910,0,0,0,0,0,0,0,0,0,0,0
3920,48,100,0,0,0,0,127,0,74,0,0
3960,0,0,0,0,0,0,0,0,0,0,0
3980,0,0,0,0,0,0,0,0,0,0,0
3990,0,0,0,0,0,0,0,0,0,0,0
4000,4459,3736,4823,0,0,0,0,0,11796,0,0
4100,0,0,0,0,0,0,0,0,0,0,0
4230,0,0,0,0,0,0,0,0,0,0,0
4290,0,0,0,0,0,0,0,0,0,0,0
4300,29,0,0,0,0,9,0,0,0,0,0
4420,5,0,0,0,0,0,34,0,0,0,0
4460,0,0,0,0,0,0,0,0,0,0,0
4470,5,0,0,0,0,0,32,0,0,0,0
4500,508,225,757,0,0,0,425,0,0,0,652
4520,33,0,0,0,0,0,0,0,0,0,0
4530,26,0,0,0,0,0,0,0,0,0,0
4560,244,0,0,0,0,0,0,414,0,0,0
4570,39,0,0,0,0,0,0,191,0,0,0
4580,32,13,0,0,0,0,0,162,0,0,0
4700,66,0,0,0,0,0,0,197,45,0,0
4720,97,0,40,0,0,0,0,0,0,0,14
4760,46,0,0,0,0,0,0,198,0,0,0
4770,0,0,0,0,0,0,0,34,0,0,0
4780,0,0,0,0,0,0,0,43,0,0,0
4800,0,0,0,0,0,0,17,24,0,0,0
4850,0,0,0,0,0,0,0,46,0,0,0
4870,0,0,0,0,0,0,0,12,0,0,0
4880,0,0,0,0,0,0,0,12,0,0,0
4890,0,0,0,0,0,0,0,16,0,0,0
4900,0,0,0,0,0,11,0,0,0,0,0
4920,426,44,507,0,0,0,0,316,0,0,0
6000,330,94,328,0,0,0,0,0,0,0,0
6010,0,109,0,0,0,0,0,0,0,0,0
6020,191,76,82,0,0,0,49,0,0,0,0
6030,144,41,80,0,0,0,0,0,0,0,0
6040,0,110,0,0,0,0,0,0,0,0,0
6060,707,161,518,0,0,0,0,0,0,0,0
6080,23,23,0,0,0,0,0,0,0,0,0
6090,26,0,0,0,0,0,0,0,0,0,0
6120,108,16,0,0,47,0,0,0,0,0,0
6200,0,0,0,0,0,42,0,0,19,0,0
6210,0,0,0,0,0,0,0,0,0,0,0
6220,32,0,0,0,0,0,0,0,0,0,0
6250,26,0,0,0,0,0,0,0,0,0,0
6270,0,0,0,0,0,0,0,0,0,0,0
6300,0,144,0,0,0,0,41,0,0,0,0
6310,25,211,0,0,0,30,29,0,0,0,0
6370,59,0,0,54,0,0,22,0,0,0,0
6400,23,0,0,0,0,0,0,11,0,0,0
6420,0,0,0,0,0,0,0,28,0,0,0
6510,76,55,0,0,0,0,0,0,0,0,0
6550,174,44,0,0,0,0,0,0,0,0,0
6600,0,0,0,0,0,0,0,0,0,0,0
6800,62,0,0,0,0,0,0,32,0,0,0
6810,44,0,0,0,0,0,0,14,0,0,0
6830,74,0,0,0,0,0,0,31,0,0,0
6840,55,0,0,0,0,0,0,24,0,0,0
6850,113,15,16,0,0,0,0,0,33,0,0
6860,224,0,0,0,0,62,0,0,56,0,0
6870,48,0,0,0,0,0,0,0,0,0,0
6880,124,49,0,0,0,0,0,0,47,0,0
6900,104,5,0,0,0,0,0,0,13,0,0
6910,377,0,509,0,0,0,683,0,0,0,0
6920,118,9,111,0,0,0,110,0,0,0,0
6980,110,46,0,0,0,0,6,0,0,0,0
7000,126,128,0,0,59,65,0,0,0,0,0
7010,35,0,19,0,0,0,0,0,0,0,0
7020,45,0,0,0,0,0,0,0,0,0,0
7110,59,27,0,0,0,0,159,0,0,0,0
7200,0,0,0,0,0,0,0,0,0,0,0
7210,0,63,0,0,0,10,0,0,0,0,0
7220,0,44,0,0,0,0,0,0,0,0,0
7260,8,0,0,0,0,0,27,0,0,0,0
7340,0,0,0,0,0,8,0,0,0,0,0
7510,98,64,0,0,0,0,66,0,0,0,0
7520,50,62,0,0,0,0,249,0,0,0,0
7530,0,0,0,0,0,0,0,0,0,0,0
7600,0,0,0,0,0,0,0,0,0,0,0
7610,0,0,0,0,0,0,0,0,0,0,0
7620,0,0,0,0,0,0,0,0,0,0,0
7650,0,0,0,0,0,0,0,0,0,0,0
7660,0,0,0,0,0,0,0,0,0,0,0
7670,819,333,1072,0,0,0,421,0,0,0,0
7730,0,0,0,0,0,0,0,0,0,0,0
7760,0,0,0,0,0,0,0,0,0,0,0
7770,18,0,0,0,0,0,0,0,0,0,0
7830,40,0,9,0,0,0,0,88,0,0,0
7840,11,0,0,0,0,0,0,0,0,0,0
7860,54,0,44,0,0,0,0,0,0,0,0
7940,447,0,500,0,0,0,0,0,0,0,0
8000,133,132,0,0,65,81,0,0,0,0,0
8080,96,9,0,0,0,0,0,0,0,0,0
8100,28,0,14,0,0,0,0,0,0,0,0
8140,134,155,0,0,53,71,0,0,0,0,0
8170,71,0,0,0,0,0,0,36,0,0,0
8190,1121,625,0,0,0,0,0,0,728,0,0
8200,23,61,0,0,0,7,0,0,0,0,0
8210,20,23,0,0,0,0,0,0,0,0,0
8220,21,23,0,0,0,0,0,0,0,0,0
8230,20,28,0,0,0,0,0,0,0,0,0
8240,20,22,0,0,0,0,0,0,0,0,0
8250,20,22,0,0,0,0,0,0,0,0,0
8260,0,22,0,0,0,0,0,0,0,0,0
8270,0,21,0,0,0,0,0,0,0,0,0
8280,0,22,0,0,0,0,0,0,0,0,0
8290,0,20,0,0,0,0,0,0,0,0,0
8300,0,20,0,0,0,0,0,0,0,0,0
8310,0,33,0,0,0,0,0,0,0,0,0
8320,0,30,0,0,0,0,0,0,0,0,0
8330,0,0,0,0,0,0,0,0,0,0,0
8340,0,54,0,0,0,0,0,0,0,0,0
8400,13,0,0,0,0,0,0,0,0,0,0
8500,130,0,0,0,0,0,293,0,472,0,0
8600,0,0,0,0,0,0,0,0,0,22,0
8790,0,0,0,0,0,0,0,0,0,37,0
8800,0,0,0,0,0,0,0,0,0,0,0
8850,401,107,512,0,0,0,107,0,0,0,0
8870,1918,708,2331,0,0,0,183,0,0,0,0
8880,0,0,0,0,0,0,62,0,0,0,0
8890,0,0,0,0,0,0,36,0,0,0,0
8930,0,0,0,0,0,0,0,0,0,0,0
8970,0,0,0,0,0,0,0,0,0,0,0
8980,664,203,893,0,0,0,748,0,0,0,0
9000,45,0,38,0,0,0,0,0,0,0,0
9010,169,25,179,0,0,0,0,0,0,0,0
9030,36,0,20,0,0,0,0,0,0,0,0
9040,39,0,24,0,0,0,0,0,0,0,0
9050,195,14,228,0,0,0,0,0,0,0,0
9060,42,0,34,0,0,0,6,0,0,0,0
9160,55,0,43,0,0,0,0,0,0,0,0
9180,51,5,0,0,85,0,0,0,0,0,0
9200,349,111,443,0,0,0,105,0,0,0,58
9310,13,0,0,0,0,0,0,71,0,0,0
9340,59,0,0,0,0,0,0,63,0,0,0
9350,20,0,0,0,0,0,0,154,0,0,0
9420,37,17,0,0,0,0,0,235,0,0,0
9450,35,15,0,0,0,0,0,168,0,0,0
9460,55,0,36,0,0,0,0,0,0,0,0
9480,348,66,0,0,0,0,0,0,236,0,0
9500,0,0,0,0,48,19,0,0,0,0,0
9710,29,0,0,0,0,0,0,0,0,0,0
9760,28,0,0,0,0,0,0,10,0,0,0
9800,45,35,0,0,0,0,0,0,0,0,0
9850,0,0,0,0,0,0,0,19,0,0,0
9880,60,27,13,0,0,0,115,0,0,0,0
9900,133,95,0,0,0,0,257,0,0,0,0
9940,83,73,0,0,85,0,0,0,0,0,0
9960,0,22,0,0,0,0,0,0,0,0,0
9970,24,0,0,0,0,0,0,0,0,0,0
9980,0,0,0,0,0,11,0,0,0,0,0
10090,620,210,665,0,0,0,0,0,0,0,255
10100,0,53,0,0,0,0,0,0,0,0,0
10110,0,62,0,0,0,0,0,0,0,0,0
10120,22,0,0,0,0,0,0,0,0,0,0
10130,89,0,77,0,0,0,0,0,0,0,0
10140,0,0,0,0,0,0,0,0,0,53,0
10150,364,217,0,0,0,0,70,0,86,0,0
10180,1023,167,905,0,0,0,0,0,0,0,0
10220,112,14,12,0,0,0,0,0,23,0,0
10230,0,27,0,0,0,0,0,0,0,0,0
10240,0,25,0,0,0,0,0,0,0,0,0
10250,0,0,0,0,0,0,0,0,0,0,0
10260,0,0,0,0,0,0,0,0,0,0,0
10270,0,0,0,0,0,0,133,0,0,0,0
10460,26,0,0,0,0,0,0,0,0,0,0
10500,101,59,0,0,0,0,0,224,0,0,0
10520,0,0,0,0,0,0,0,0,0,0,0
10680,418,80,367,0,0,0,0,0,0,0,143
11020,63,36,0,0,0,0,0,0,39,41,0
11040,0,43,0,0,0,11,23,0,0,0,0
11050,0,37,0,0,0,6,0,0,0,0,0
11130,0,40,0,0,0,0,0,0,0,0,0
11140,0,44,0,0,0,0,0,0,0,0,0
11150,0,34,0,0,0,0,0,0,0,0,0
11180,0,35,0,0,0,0,0,0,0,0,0
11190,0,49,0,0,0,18,22,0,0,0,0
11200,73,0,0,0,0,0,0,0,0,0,0
11230,0,0,0,0,14,0,0,0,0,0,0
11240,59,0,43,0,0,0,0,0,0,0,0
11250,0,0,0,0,0,0,0,0,0,0,0
11260,0,0,0,0,0,0,0,0,0,0,0
11280,39,0,24,0,0,0,0,0,0,0,0
11330,0,0,0,0,0,67,0,0,0,0,0
11340,58,10,0,0,0,0,20,0,0,0,0
11360,0,0,0,0,0,47,0,0,0,0,0
11450,167,119,0,0,0,39,219,39,0,0,0
11480,0,0,0,0,0,0,0,12,0,0,0
11560,0,0,0,0,0,0,0,12,0,0,0
11590,0,0,0,0,0,0,0,0,0,0,0
11610,72,18,0,0,0,0,68,0,0,0,0
11920,0,0,0,0,0,0,0,0,0,0,0
12100,267,90,0,0,0,0,0,0,138,0,0
12110,372,142,0,0,0,0,0,0,178,0,0
12120,1039,467,0,0,0,0,243,0,474,0,0
12130,60,0,0,0,0,0,0,0,0,0,15
12140,226,24,0,0,0,0,0,0,0,0,0
12150,186,32,0,0,0,0,0,0,0,0,0
12160,0,0,0,0,0,0,0,0,13,0,0
12170,59,16,0,0,0,0,0,0,0,0,0
12180,101,19,0,0,0,0,0,0,0,0,0
12200,309,293,0,0,0,0,11,0,128,0,0
12210,1436,777,0,0,0,0,0,0,637,0,0
12220,265,114,0,0,0,0,0,0,105,0,0
12310,0,45,0,0,0,0,22,0,0,0,0
12320,100,45,0,0,0,0,166,0,0,0,0
12330,40,0,0,0,0,0,13,0,0,0,0
12340,0,36,0,0,0,0,0,0,0,0,0
12360,30,0,0,0,0,0,0,0,0,0,0
12370,0,0,0,0,0,0,0,0,0,0,0
12380,0,0,0,0,0,0,0,0,0,0,0
12390,28,0,18,0,0,0,0,0,0,0,0
12420,0,0,0,0,0,0,0,8,0,0,0
12430,0,0,0,0,0,0,0,0,0,0,0
12440,0,34,0,0,0,0,0,0,0,0,0
12450,0,32,0,0,0,0,0,0,0,0,0
12460,0,0,0,0,0,0,0,8,0,0,0
12470,0,0,0,0,0,0,0,0,0,0,0
12480,0,0,0,0,0,0,0,12,0,0,0
12500,0,0,0,0,0,98,77,0,0,0,0
12510,0,0,0,0,0,0,0,0,0,0,0
12520,0,0,0,0,0,0,0,0,0,0,0
12530,22,21,0,0,0,0,0,0,0,0,0
12540,0,0,0,0,0,6,0,0,0,0,0
12560,0,0,0,0,0,0,0,0,0,0,0
12570,0,0,0,0,0,0,0,0,0,0,0
12580,0,0,0,0,0,0,0,0,0,0,0
12590,0,0,0,0,0,0,0,0,0,0,0
12600,0,0,0,0,0,0,0,0,0,0,0
12640,0,17,0,0,0,0,95,0,0,0,0
12650,0,0,0,0,0,0,0,0,0,0,0
12660,0,0,0,0,0,0,0,0,0,0,0
12670,0,0,0,0,0,0,0,0,0,0,0
12710,64,34,0,0,0,10,77,0,0,0,0
12770,31,19,0,0,0,0,64,0,0,0,0
12790,45,26,0,0,0,0,0,0,0,0,0
12810,92,63,0,0,0,26,169,16,0,0,0
12830,115,14,112,0,0,0,0,0,0,0,0
12900,0,0,0,0,0,82,0,0,0,0,0
13000,0,0,0,0,0,0,0,0,0,0,0
13140,159,27,125,0,0,0,0,0,14,0,0
13200,50,0,40,0,0,0,0,0,0,0,0
13210,171,18,189,0,0,0,0,0,0,0,0
13230,143,11,177,0,0,0,0,0,0,0,0
13240,119,0,145,0,0,0,0,0,0,0,0
13250,91,30,105,0,0,0,0,0,0,0,0
13500,135,92,0,0,55,0,0,0,0,0,0
13520,223,75,271,0,0,0,0,0,26,0,0
13530,86,74,0,0,42,0,0,0,0,0,0
13540,61,0,36,0,0,0,0,0,0,0,0
13560,100,22,0,0,0,0,0,0,0,0,0
13570,142,6,0,0,0,0,0,0,0,0,0
13580,67,15,0,0,0,0,0,0,0,0,0
13600,109,101,0,0,73,0,0,0,0,0,0
13620,34,0,13,0,0,0,0,0,0,0,0
13630,30,0,11,0,0,0,0,0,0,0,0
15000,39,0,14,0,0,0,0,0,0,0,0
15080,39,40,0,0,0,0,0,0,0,0,0
15100,429,344,0,0,0,0,37,0,58,0,0
15120,180,17,167,0,0,0,0,0,0,0,0
15130,210,278,0,0,32,0,0,0,0,0,0
15160,0,0,0,0,0,0,0,0,0,0,0
15170,0,0,0,0,0,0,67,0,0,0,0
15190,67,0,56,0,0,0,0,0,0,0,0
15200,0,0,0,0,0,0,0,0,0,0,0
15210,13,0,0,0,0,0,0,0,0,0,0
15240,0,0,0,0,0,0,0,0,0,0,0
15270,46,0,0,0,0,0,0,0,0,0,0
15300,56,0,57,0,0,0,0,0,0,0,0
15320,23,0,0,0,0,0,0,0,0,0,0
15350,0,0,0,0,0,0,0,0,0,0,0
15370,0,0,0,0,0,0,13,0,0,0,0
15380,0,0,0,0,0,0,0,0,0,0,0
15390,69,0,56,0,0,0,0,0,0,0,0
15400,0,0,0,0,0,0,0,0,0,0,0
15500,39,0,0,0,0,9,0,0,0,0,0
15520,61,0,0,0,0,0,0,0,0,39,0
15540,39,0,0,0,0,0,0,0,0,0,0
15560,83,0,0,0,0,0,0,0,0,67,0
15620,43,0,0,0,0,0,45,217,0,0,0
15700,18,114,0,0,114,80,0,0,0,0,0
15710,15,71,0,0,63,41,0,0,0,0,0
15740,40,44,0,0,16,7,0,0,0,0,0
15750,65,67,18,0,0,0,0,0,0,0,0
15800,0,0,0,0,0,0,0,0,0,0,0
15900,0,0,0,0,0,15,0,0,0,0,0
15910,0,0,0,0,0,0,0,0,0,0,0
15920,0,0,0,0,0,0,0,0,0,0,0
15930,0,0,0,0,0,5,0,0,0,0,0
15960,0,0,0,0,0,9,0,0,0,0,0
15970,0,0,0,0,0,0,0,0,0,0,0
16000,0,0,0,0,0,0,0,0,0,0,0
16020,0,10,0,0,0,0,0,0,0,0,0
16030,0,0,0,0,0,6,0,0,0,0,0
16040,0,0,0,0,0,5,0,0,0,0,0
16060,0,8,0,0,0,0,0,0,0,0,0
16100,0,0,0,0,0,0,0,0,0,0,0
16110,0,0,0,0,0,0,0,0,0,0,0
16120,0,0,0,0,0,0,0,0,0,0,0
16130,0,0,0,0,0,0,0,0,0,0,0
16180,0,0,0,0,0,0,0,0,0,0,0
16200,0,0,0,0,0,0,0,0,0,0,0
16300,0,0,0,0,0,0,0,0,0,0,0
16450,146,0,174,0,0,0,0,0,0,0,0
16500,0,0,0,0,0,7,0,0,0,0,0
16600,0,0,0,0,0,0,0,0,0,24,0
16620,0,0,0,0,0,0,0,0,0,21,0
16710,38,44,0,0,16,0,0,0,0,0,0
16720,115,21,0,0,0,0,0,0,0,0,0
16730,82,0,61,0,0,0,0,0,0,0,0
16810,0,0,0,0,0,0,0,0,0,0,0
16900,30,0,28,0,0,0,0,0,0,0,0
17080,340,55,414,0,0,0,49,0,0,0,0
17100,0,0,0,0,0,0,0,0,6,0,0
17120,0,0,0,0,0,0,0,0,7,0,0
17140,8,0,0,0,0,0,34,0,0,0,0
17180,0,0,0,0,0,0,0,0,0,0,0
17300,390,79,444,0,0,0,0,0,52,0,0
17330,158,44,156,0,0,0,0,0,0,0,0
17390,292,677,0,0,0,0,276,202,847,0,0
17410,895,501,209,0,475,186,0,0,0,0,0
17430,93,0,0,0,0,0,0,0,0,0,0
17440,5,42,0,0,0,0,0,0,31,0,0
17450,136,267,0,0,0,0,861,0,0,0,0
17460,594,219,0,0,0,0,954,0,0,0,0
17470,470,70,0,0,0,0,38,0,0,0,78
17480,79,0,0,0,0,0,0,408,0,0,0
17500,198,68,152,0,0,0,0,0,0,0,213
17570,139,0,81,0,0,0,28,0,0,0,0
17580,85,16,79,0,0,0,0,0,0,0,16
17710,90,0,95,0,0,0,0,67,0,0,0
17740,44,0,31,0,0,0,0,27,0,0,0
18000,0,46,0,0,0,0,54,0,0,0,0
18020,0,41,0,0,0,0,45,0,0,0,0
18040,52,0,0,0,0,0,53,0,0,0,0
18050,36,0,0,0,0,0,34,0,0,0,0
18070,32,32,0,0,0,0,34,0,0,0,0
18120,29,0,0,0,0,0,0,0,0,0,0
18300,0,0,0,0,0,12,0,0,0,0,0
18400,0,0,0,0,0,28,0,0,0,0,0
18420,0,0,0,0,0,25,0,0,0,0,0
18430,0,0,0,0,0,0,0,0,0,0,0
18450,0,0,0,0,0,0,0,0,0,0,0
18460,0,0,0,0,0,0,0,0,0,0,0
18470,0,0,0,0,0,0,0,0,0,0,0
18480,0,36,0,0,0,8,0,0,0,0,0
18500,0,11,0,0,0,0,0,0,0,0,0
18600,0,0,0,0,0,0,0,0,0,0,0
18700,24,0,0,0,122,73,0,0,0,0,0
18820,31,0,0,0,0,0,0,0,0,29,0
19000,10,57,0,0,0,0,0,0,0,0,7
19020,0,0,0,0,0,5,24,0,0,0,0
19030,27,23,0,0,11,0,0,0,0,0,0
19080,20,20,0,0,0,0,0,0,0,0,0
19200,55,0,6,0,0,0,0,0,0,0,0
19320,22,0,0,0,0,0,0,0,0,0,0
19500,0,21,0,0,5,0,0,0,0,0,0
19800,49,0,36,0,0,0,0,0,0,0,0
19810,24,0,0,0,0,0,0,0,0,0,0
19830,68,0,71,0,0,0,0,0,0,0,0
19900,278,121,342,0,0,0,0,0,97,0,78
19980,127,127,0,0,71,0,0,0,0,0,0
20200,0,0,0,0,0,0,0,0,0,21,0
20500,288,72,14,0,0,0,0,0,95,0,17
20510,333,154,394,0,0,0,259,0,64,0,400
20530,85,5,71,0,0,0,0,0,0,0,0
20540,34,0,0,0,0,0,0,80,0,0,0
20550,57,0,33,0,0,0,0,0,0,0,0
20570,18,0,0,0,0,0,29,129,0,0,0
20700,26,0,0,0,0,0,0,0,0,0,0
20710,23,0,0,0,0,10,0,0,0,0,0
20820,58,6,0,0,0,0,0,0,0,0,0
20900,594,463,0,0,0,0,1446,0,0,0,0
20920,818,1212,0,0,0,0,3229,0,0,0,0
21000,85,81,0,0,0,0,0,0,0,0,0
21010,39,0,0,0,0,0,0,0,0,0,0
21030,30,0,0,0,0,0,0,0,0,0,0
21090,263,13,395,0,0,0,0,0,0,0,5
21100,227,33,266,0,0,0,0,0,0,0,0
21110,0,0,0,0,0,0,0,0,0,0,0
21120,0,0,0,0,0,0,0,0,0,0,0
21130,80,82,0,0,0,18,0,0,0,0,0
21300,0,0,0,0,0,0,0,0,0,0,0
21400,20,0,0,0,0,0,0,7,0,0,0
21500,0,0,0,0,0,0,0,0,0,0,0
21600,0,0,0,0,0,0,0,0,0,0,0
21640,0,0,0,0,0,9,0,0,0,0,0
21660,44,0,0,0,0,0,0,0,0,0,0
21670,82,66,0,0,0,0,0,0,0,0,0
21680,58,0,0,0,56,0,0,0,0,0,0
21690,313,187,0,0,0,0,0,0,0,0,69
21780,38,0,0,0,0,0,0,0,0,0,0
21800,0,0,0,0,0,0,0,35,0,0,0
21980,100,36,91,0,0,0,0,0,0,0,0
22000,0,0,0,0,0,390,0,0,0,0,0
22100,134,98,0,0,0,0,253,0,144,0,0
22120,55,140,0,0,0,67,0,0,0,0,56
22130,0,0,0,0,0,0,0,0,0,0,0
22140,0,33,0,0,0,20,0,0,0,0,0
22180,33,95,0,0,0,36,0,0,0,0,35
22200,147,26,57,0,0,0,0,0,0,0,0
22230,89,0,0,0,0,0,0,0,0,0,0
22300,282,280,230,0,0,0,549,0,166,0,0
22310,39,0,20,0,0,0,0,0,0,0,0
22320,145,388,0,0,0,0,948,0,266,0,0
22330,337,437,0,0,0,0,969,0,265,0,0
22340,37,61,59,0,0,0,0,0,0,0,25
22350,215,35,236,0,0,0,0,0,0,0,0
22370,523,526,506,0,0,0,1221,0,352,0,0
22380,1220,1085,985,0,0,0,2568,0,739,0,710
22450,68,62,0,0,0,0,19,0,0,0,0
22490,1104,950,862,0,0,0,2327,0,647,0,581
22500,0,0,0,0,0,0,0,0,0,0,0
22600,36,0,0,0,0,0,0,0,0,0,0
22610,85,0,0,0,0,0,0,0,0,0,0
22650,78,0,0,0,0,0,0,0,0,0,0
22670,52,0,0,0,0,0,0,0,0,0,0
23150,0,0,0,0,0,0,0,0,0,0,0
23300,0,0,0,0,0,15,0,0,0,0,0
23310,18,58,0,0,0,0,264,0,0,0,0
